Start Date,Class,Hedge Type,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
06/01/2020,BUY,OBL,18557616,268225.1,-2299851.31,66404326.4,-541559525.95,68457.5,23944.19,16497638.4,8523666.14,0.52,-8.16,2020.JUN.Monthly.Auction,5747
06/01/2020,SELL,OBL,734800,10557.1,40201.45,2531676.8,8026899.95,2162.3,2986.37,488084.8,870779.1,1.78,3.17,2020.JUN.Monthly.Auction,5747
06/01/2020,BUY,OPT,35206592,1959152.2,72332.83,461709347.2,112156396.62,83807.6,365244.07,20109344.0,10420986.17,0.52,0.24,2020.JUN.Monthly.Auction,5747
07/01/2020,SELL,OPT,6651704,110042.7,1004425.01,27430473.6,56309850.58,28351.0,12332.41,7052516.0,4297463.8,0.61,2.05,2020.JUL.Monthly.Auction,5807
07/01/2020,SELL,OBL,679192,10822.7,6724.07,2699545.6,5733098.27,2269.9,-1504.19,574983.2,358775.89,0.62,2.12,2020.JUL.Monthly.Auction,5807
07/01/2020,BUY,OPT,27738376,1679052.4,40369.31,407006763.2,75931373.38,76215.2,206760.87,18687037.6,6518487.76,0.35,0.19,2020.JUL.Monthly.Auction,5807
07/01/2020,BUY,OBL,17892040,254837.7,-2213823.92,66092469.6,-548063431.39,64082.3,10304.69,16403538.4,6149157.28,0.37,-8.29,2020.JUL.Monthly.Auction,5807
08/01/2020,SELL,OPT,6050376,102846.0,1132394.58,25433340.0,56566771.0,27663.6,13442.92,6802211.2,3841849.59,0.56,2.22,2020.AUG.Monthly.Auction,5827
08/01/2020,SELL,OBL,702736,11222.2,7080.08,2805563.2,5874088.15,2257.4,863.91,569374.4,69654.82,0.12,2.09,2020.AUG.Monthly.Auction,5827
08/01/2020,BUY,OBL,18263520,268384.9,-3713655.73,68368550.4,-588379971.79,69058.6,40279.28,17572085.6,5894036.76,0.34,-8.61,2020.AUG.Monthly.Auction,5827
08/01/2020,BUY,OPT,28457024,1714649.4,43062.57,421085558.4,81662323.31,81429.9,238724.56,20009032.0,7098602.48,0.35,0.19,2020.AUG.Monthly.Auction,5827
09/01/2020,BUY,OBL,14895984,251441.6,-2235835.85,62086492.8,-534368351.81,62143.0,45658.37,15229872.0,5473088.22,0.36,-8.61,2020.SEP.Monthly.Auction,5926
09/01/2020,SELL,OPT,6434688,109789.3,1186990.05,26434094.4,65018269.68,35576.2,25841.69,8607724.8,7741401.28,0.9,2.46,2020.SEP.Monthly.Auction,5926
09/01/2020,BUY,OPT,32613072,1839228.5,81315.83,435319310.4,103165052.83,103960.6,369073.01,24913555.2,8856233.16,0.36,0.24,2020.SEP.Monthly.Auction,5926
09/01/2020,SELL,OBL,570000,10329.3,8295.04,2549918.4,7087545.12,2463.5,2472.65,609787.2,716802.35,1.18,2.78,2020.SEP.Monthly.Auction,5926
10/01/2020,SELL,OPT,7260240,117683.4,3604024.34,29418183.2,129071501.85,36974.0,32278.84,9291627.2,8820718.21,0.95,4.39,2020.OCT.Monthly.Auction,5966
10/01/2020,SELL,OBL,631056,12733.6,12224.82,3212501.6,18125073.88,2811.2,4535.85,697583.2,1058551.36,1.52,5.64,2020.OCT.Monthly.Auction,5966
10/01/2020,BUY,OPT,37209400,2040522.2,99870.06,498954594.4,121376946.45,90125.7,475640.65,22694124.0,9834700.17,0.43,0.24,2020.OCT.Monthly.Auction,5966
10/01/2020,BUY,OBL,16553736,284339.9,-2231246.96,72852156.0,-560362277.72,64986.1,85672.02,16285989.6,5595973.05,0.34,-7.69,2020.OCT.Monthly.Auction,5966
11/01/2020,SELL,OPT,6853946,118083.5,3639826.56,28644818.8,125829224.31,41772.9,29197.64,10072879.0,10571232.84,1.05,4.39,2020.NOV.Monthly.Auction,6006
11/01/2020,SELL,OBL,671585,13866.8,11975.56,3382682.4,13500248.52,3656.0,5074.18,899685.5,2160471.07,2.4,3.99,2020.NOV.Monthly.Auction,6006
11/01/2020,BUY,OBL,11989189,253595.1,-6737104.55,61379367.1,-645724291.11,64101.9,59762.47,15701949.7,7785579.19,0.5,-10.52,2020.NOV.Monthly.Auction,6006
11/01/2020,BUY,OPT,37017785,2224928.6,92964.71,533595453.6,123996157.77,95624.6,454572.27,22837132.6,9906230.98,0.43,0.23,2020.NOV.Monthly.Auction,6006
12/01/2020,BUY,OBL,12250376,229812.0,-2275720.67,57428512.0,-564587047.61,60266.7,36295.13,15169793.6,5089358.95,0.34,-9.83,2020.DEC.Monthly.Auction,6027
12/01/2020,SELL,OBL,637864,11662.4,10534.99,2903517.6,11089420.02,2806.4,3009.26,673481.6,1007430.54,1.5,3.82,2020.DEC.Monthly.Auction,6027
12/01/2020,BUY,OPT,36177784,2045459.9,74053.94,500280200.8,115178245.57,103409.3,356090.5,25589596.0,11056295.97,0.43,0.23,2020.DEC.Monthly.Auction,6027
12/01/2020,SELL,OPT,7575000,118117.1,3624188.08,29834288.0,120218235.26,39384.0,23259.1,9964676.0,9374546.12,0.94,4.03,2020.DEC.Monthly.Auction,6027
01/01/2021,SELL,OBL,935912,11970.5,13302.13,3026644.0,7290562.87,3333.7,4704.08,844750.4,758672.19,0.9,2.41,2021.JAN.Monthly.Auction,6050
01/01/2021,BUY,OBL,12951312,226208.5,-6674371.95,56076898.4,-636076465.54,57773.8,54952.77,14120160.8,9045955.56,0.64,-11.34,2021.JAN.Monthly.Auction,6050
01/01/2021,SELL,OPT,8931136,144049.3,3712633.09,35874915.2,142093329.82,45895.3,41524.37,11493893.6,10231527.17,0.89,3.96,2021.JAN.Monthly.Auction,6050
01/01/2021,BUY,OPT,40077944,2241127.5,104826.79,557969880.0,147394986.52,89586.1,433306.81,22133019.2,12337491.84,0.56,0.26,2021.JAN.Monthly.Auction,6050
02/01/2021,BUY,OPT,35658592,2238981.0,90330.49,499071398.4,118487290.75,85423.2,367802.86,19317724.8,12934642.81,0.67,0.24,2021.FEB.Monthly.Auction,6090
02/01/2021,SELL,OPT,7531520,132347.0,3624777.21,29712860.8,114273769.34,46921.1,26880.01,10635020.8,6749599.36,0.63,3.85,2021.FEB.Monthly.Auction,6090
02/01/2021,BUY,OBL,13425376,246584.4,-2187049.6,56401564.8,-483594599.58,57169.9,45538.07,12808284.8,6378144.38,0.5,-8.57,2021.FEB.Monthly.Auction,6090
02/01/2021,SELL,OBL,817760,11953.3,11877.58,2750230.4,4334091.23,4102.2,4148.22,986880.0,808479.69,0.82,1.58,2021.FEB.Monthly.Auction,6090
